scenario,Simulation,totalInfections_1,totalInfections_2,totalInfections_3,totalInfections_4,totalInfections_5,totalInfections_6,totalInfections_7,totalInfections_8,totalInfections_9,totalInfections_10,totalInfections_11,totalInfections_12,totalInfections_13,totalInfections_14,totalInfections_15,totalInfections_16,totalFirstInfections_1,totalFirstInfections_2,totalFirstInfections_3,totalFirstInfections_4,totalFirstInfections_5,totalFirstInfections_6,totalFirstInfections_7,totalFirstInfections_8,totalFirstInfections_9,totalFirstInfections_10,totalFirstInfections_11,totalFirstInfections_12,totalFirstInfections_13,totalFirstInfections_14,totalFirstInfections_15,totalFirstInfections_16,totalAdmissions_1,totalAdmissions_2,totalAdmissions_3,totalAdmissions_4,totalAdmissions_5,totalAdmissions_6,totalAdmissions_7,totalAdmissions_8,totalAdmissions_9,totalAdmissions_10,totalAdmissions_11,totalAdmissions_12,totalAdmissions_13,totalAdmissions_14,totalAdmissions_15,totalAdmissions_16,totalDeaths_1,totalDeaths_2,totalDeaths_3,totalDeaths_4,totalDeaths_5,totalDeaths_6,totalDeaths_7,totalDeaths_8,totalDeaths_9,totalDeaths_10,totalDeaths_11,totalDeaths_12,totalDeaths_13,totalDeaths_14,totalDeaths_15,totalDeaths_16,peakOcc
1,110,392475.299115081,431893.748533791,468817.07714109,543193.488739164,531375.264899524,594146.444884703,623170.283814999,529427.290658179,484227.346906266,445814.551771677,440895.974589573,387668.818680203,292112.585420956,209519.225424513,150139.8186528,169927.956226181,299175.442008054,309687.726566175,327741.594080406,332510.369945559,328060.347765735,369105.721216671,394150.092512418,354510.006147805,327286.253640377,314825.047717028,321616.868406738,300534.209252945,247846.878849569,187653.254923745,138866.78050109,162175.385060571,1966.11919273538,315.006063899594,270.364215413428,461.345278242282,617.961519826975,715.538217635884,794.116964554299,758.80268286638,743.963803147219,852.458917596501,1021.00319237675,1266.62883224812,1470.33023187582,1722.25158614373,2059.2862916547,8298.109483283,0.775246326168513,0.771712232007397,0.636920654981225,0.994072279947502,1.81326133903651,4.04058412167791,8.61402876390632,14.4410813972874,25.4965996575433,46.1905089783677,87.0194920710201,150.760789993944,231.278314767797,296.616351585785,389.784307842483,2353.96784249456,673.196714105508
1,111,320970.75990855,363237.091217306,398572.588610797,476693.106186555,457610.718163659,505201.460030527,526609.578902648,412210.401349277,380028.127802873,346588.653525689,341994.993831905,294158.079194957,214285.026486357,145953.895114696,100594.606745573,112640.229162383,267074.50355233,289406.723818577,311656.632693321,331390.422604051,323265.88316719,362600.349865303,385806.602426664,327966.800671321,305815.712740435,287439.97771341,290108.065655589,258824.392220775,197670.927401267,138514.304444853,97034.1080387138,110214.327618738,2899.18620492607,478.595516830073,410.990377027189,711.845788122418,934.486839530011,1079.69913416818,1197.3946423951,1080.24112367899,1070.15014014507,1204.70515074021,1435.7270711661,1725.46689375765,1903.57712230396,2097.5924419271,2391.96586871435,9441.70525071604,0.894882340115224,0.918174700957081,0.758248485488681,1.20019314827808,2.14582790386012,4.7724706882928,10.1681063520226,16.0755625261529,28.6510360977595,50.9201679233219,95.0101505255374,159.084589246865,231.08947644971,270.566666420968,336.706080884123,1980.28970756824,743.960645179159
1,112,326395.390621053,354882.743457214,374317.78619202,417852.806039101,405741.013064559,456119.514411249,481179.961466982,417215.587516615,381563.078421925,352255.203819953,351127.886522146,310758.45087176,234370.782057828,168617.260327419,119981.336717048,132865.270405434,279687.3691945,295668.037671191,311225.134515998,326046.694451483,320863.160371765,361859.836534308,385681.700570943,344591.878827663,317340.697740472,301280.673776111,306419.624915954,279692.515254896,219710.71710636,161660.621496822,116589.487719865,130729.031054803,2971.3402949513,474.606318481665,378.464830976418,577.753349473701,754.279866983526,886.525869748082,994.491733123056,970.18117676437,943.635682618916,1069.33978745729,1286.79154643459,1605.44894292518,1870.93358938845,2203.86967430863,2591.85043319308,10158.6517272631,0.731469639330986,0.72601642634947,0.55700312692361,0.777615557561522,1.38333141239027,3.12989332027787,6.74577266993736,11.5481382391067,20.2286589350897,36.2319156917228,68.6169555265864,119.427837967023,183.45690279593,235.649865223444,303.090701331225,1765.32886109152,963.791759794545
1,113,360133.994471181,395784.737504995,426682.236010141,492402.010409082,480540.534376186,538637.724400101,565885.639168783,489393.539029443,447395.508486434,412308.939425008,408731.381131893,360314.415971598,271232.601072306,195371.055076934,140035.664838038,156972.059342776,288446.164856469,302306.273543973,320619.243938331,331308.446520049,326021.942305682,367066.435667668,391713.41070804,352992.859498667,325333.142990524,311850.322541102,318242.635086531,295390.304004781,239425.458835063,179880.020544632,132170.826422342,151740.002373264,3212.85960806833,515.87723182947,434.471611872284,723.41299674011,961.61335160843,1118.9120756405,1245.45181622611,1204.90793362423,1177.89302946217,1346.61084646888,1615.08540618714,2009.28686969919,2334.21380692748,2743.66999663458,3271.18327543109,13029.2935652239,0.85127563821926,0.849462632187195,0.688035804982616,1.0476158926618,1.89668556382759,4.24811152383904,9.08490808367494,15.4250508485268,27.1593530227605,49.096084737616,92.6985681525184,161.035452749659,247.097691421373,318.179276494834,416.819245352026,2493.66207610963,903.616566584561
1,114,378326.16812082,412846.415844421,442902.847085412,502193.459720996,481794.58247318,530598.444565802,554245.420987522,424544.777351901,390216.889351096,356847.126520009,352100.327991951,306845.338785938,231841.342947701,159864.270176229,110611.149909097,126999.94682382,300208.948960112,310991.581929718,328575.934651234,332394.534678129,327088.754983655,367238.763113859,391825.117288321,334016.809190392,310883.359486184,293512.997053206,296702.849810354,268248.905353278,212454.907421211,151097.128144984,106444.004547874,124062.253280958,2688.62160698711,421.546578697535,352.872701190855,575.076682694654,752.977377284831,869.086305591899,966.530510827396,871.562445794063,860.395218401766,971.613517106626,1158.59818704414,1414.00028740443,1623.34541404533,1819.15941090224,2085.42041112282,8450.42393392547,0.890208413274759,0.867605565295997,0.698481701358326,1.04075831993519,1.85544772498289,4.12136137452297,8.80409807724035,13.9114432330141,24.7025540733683,44.0334442700617,82.1949205962139,139.71098336499,211.118820697365,250.161957818605,312.249284570661,1882.23183787808,617.415028309713
1,115,383783.350955173,420561.940656893,453215.151149074,518445.103029143,503482.722106339,559390.019576062,585652.269472475,476949.499156137,437441.418167271,402012.904333899,397690.543141453,348756.611426133,263257.788246684,185959.213292635,131444.144447987,149165.495727317,299893.825911577,310667.286041023,327812.609986513,332047.075829496,327697.565416527,368491.534226717,393274.820936132,346980.654413281,321987.405401658,307523.022708429,313058.635987655,288320.914427655,232831.786364307,171465.448273627,124215.093930923,144154.003511277,2772.69296446698,444.506935965696,374.515529947429,618.422000630403,822.503911930005,951.90929305793,1057.49942089186,989.823679353152,974.186640528299,1110.38257915511,1329.25546474208,1638.51730090758,1892.01862532911,2177.36186827267,2559.83225329922,10301.7593950048,0.757628184604194,0.754911527971607,0.611504225816887,0.923096236660682,1.67189721157495,3.72424491591194,7.94843117267639,13.0500635380497,23.1259236157329,41.6645389746735,78.4011882555486,134.900537227599,205.792651031373,258.617280762287,333.896458750679,2016.5247585436,801.074226964096
1,116,362787.576392898,391401.317482235,413040.5886717,458958.047222577,446283.352547293,499024.781745223,525021.640331514,443321.795564137,405783.566509693,374386.5395547,372011.600434679,329143.057667182,250641.796796871,180053.795332165,128248.45504135,144207.945994524,297010.73783453,308010.465444249,322691.464317069,329622.981279096,325582.81830737,366522.693000088,390967.966243746,347104.318293233,320693.349292321,305800.239711208,311375.047215655,286312.220321481,229617.252052744,170034.486575552,123323.361691691,140942.212025087,3039.02288889424,483.94870802987,388.667986219749,595.216977950836,785.615362980228,917.437813971825,1025.71259293239,985.735583657478,962.570590104916,1094.9137700423,1314.73179706109,1638.86503784159,1922.22115569034,2260.39096140254,2668.05759737811,10629.2310792915,0.69535054451765,0.688367360132985,0.531684743286781,0.744116081124211,1.33802000418259,3.00809867077007,6.461777408759,10.895741002692,19.1586544336709,34.4403154624102,65.0308804421222,113.076049969622,174.856889580738,223.229062548907,287.858403091064,1703.82131401913,846.014829596618
1,117,315564.770755239,357724.716355747,393213.269893483,474842.395889583,459056.032573891,510515.419703369,533158.929772767,437562.777208108,402303.570352782,367673.116660738,363306.334333218,313523.860989429,227211.4829285,156745.244251869,109167.846378986,120932.572149293,262090.348336383,284764.36962217,307096.583588467,329689.039076345,322152.317389603,362021.122125992,385264.889781147,336779.059547061,312699.971976948,295585.385131521,299485.91575634,269709.086182639,206889.161074229,147475.579607381,104651.207555788,117935.67782668,2762.26291044286,457.955345142708,393.975110267386,691.36917269467,912.557114328043,1058.03740206196,1173.35030359829,1093.243823232,1078.3043641498,1218.34232708678,1454.9692235184,1759.32377357032,1940.52521670725,2170.37191161043,2503.7994524362,9794.99364935435,0.707162228170447,0.728525659865411,0.602697808090727,0.966558352344605,1.73759907874602,3.87772482607061,8.26154292177115,13.4952766324375,23.9534898953554,42.7392820811974,79.982194023297,134.787221650318,195.735686111867,233.704984849496,294.156701977871,1705.44957328447,888.778604046654
1,118,372926.088885496,403352.210836105,428288.272917287,478607.314628756,465483.268642433,519374.259976234,545689.138953506,456670.921105319,418610.350350474,386349.674720184,383726.884818125,339755.057374101,259940.378471361,186898.64780746,133451.480611299,150877.345087078,300781.89815476,310857.790429301,326140.789486377,331234.525661522,327041.477017836,368010.465386985,392728.675396878,348464.762560993,322903.113773491,308603.944731013,314491.899561178,290435.04372066,235339.389011599,175061.616388613,127556.31269447,146921.493181556,2455.29250197362,392.528375328249,320.934286426219,502.942517991439,667.561388484018,777.430242128557,867.823913619538,831.305185593219,815.779740990528,931.875486363937,1119.11536152876,1394.4369252654,1637.06044216015,1919.10212981129,2275.1523730093,9111.53441933811,0.831043956093117,0.826024907172874,0.64943036536646,0.930171760122929,1.68147588045917,3.76930272381737,8.08306030426514,13.5793167561701,23.9833830198044,43.2651066329247,81.4443372062387,141.332631931795,218.131138213785,269.479165791738,346.494938370174,2054.2456807184,746.326912258998
1,119,339636.451506851,377432.612841263,408718.790020053,473338.742305608,451842.539744974,495921.567770305,516806.619273049,380019.713707011,350476.693303589,318562.639453332,313585.57457881,269458.250968376,199690.037365523,134236.982045461,91210.6118160762,104223.04738014,281532.860691948,299504.036897625,319526.570798538,331678.112137019,324518.706728365,363644.830532224,386989.078773362,315387.53354728,294415.160626918,274533.520794826,275545.660688224,243617.528519086,187022.756741423,128676.374500818,88620.4549128503,102365.632353569,3159.76665798557,507.393611429835,427.424222820049,710.651122474153,925.980079593807,1068.04070941851,1186.46670406302,1027.598223733,1018.66071734316,1139.28602084662,1353.83733415734,1622.08821150527,1815.0461032707,1975.75235627286,2218.23204658047,8922.01622801235,0.943221686449092,0.941407247140345,0.762658585155363,1.15896417352188,2.05690321391607,4.56746414498774,9.74891611713494,14.79488574741,26.390733727166,46.6254254376615,86.9886248138899,145.443241979853,215.069061653388,255.506257489697,315.618215256254,1919.18691936652,625.005583728305
1,120,377110.527934769,413204.00446907,443271.011859252,505251.724981172,483682.437287588,529261.518879559,551155.689339767,395205.896672099,364027.027859059,331109.312380492,325047.364599728,280210.683643617,210598.238810428,141705.136046967,96101.9585170693,111465.286923291,299675.635399233,311442.5298641,328647.322541785,332794.199672991,327179.339409557,366789.004600014,391072.017146629,319484.888344547,298579.258933644,279426.295282402,280560.430701577,249739.440227372,195400.89039473,135035.814593215,93040.0243780631,109247.301232907,3443.25204672435,546.01508636379,455.057962238368,735.704084604546,967.891536716739,1114.72537117345,1238.53846190816,1060.27216789297,1050.61720381385,1176.76599453253,1395.32789127626,1677.16834282873,1903.35373623409,2075.73646621978,2326.52404146572,9500.06513217367,1.27621612371213,1.25818553009867,1.00845328097393,1.49048614184662,2.67048352848904,5.91948111566285,12.6346566210505,18.9443508254733,33.7677836529121,59.7223793543041,110.997702634964,185.997665593549,278.48937639098,326.66719637684,401.029074577728,2456.57780455165,789.498453081854
1,121,338393.39354268,376012.59594708,406236.993702879,474924.077515298,464267.223431092,521117.621944791,547275.701975796,474173.333509755,433855.746681221,399253.158103014,395774.819894603,347182.068608286,257891.789511982,184273.472293091,131330.271226665,145641.983042005,276825.918747479,294691.876512137,313427.546263394,329607.115600296,324071.496872229,365009.435119141,389208.719219887,350049.229722555,323006.314482335,308692.974386906,314646.652781334,289881.919067627,230659.314403712,171241.907935665,124797.972236291,141395.864968266,2518.72347613115,412.532319796301,346.270529893488,578.357725275763,770.323041193625,899.051796890621,1001.12843279843,969.344033236679,948.303776578667,1080.74372385753,1295.65631230188,1601.43029867324,1830.11754762798,2132.20117166428,2522.98629154643,9919.98772677268,0.957511016944273,0.97472035957707,0.786769421412489,1.20118975549158,2.1792384106488,4.89596742768789,10.4749878711318,17.7965150762605,31.3531858749295,56.4815205186804,106.490151408345,183.683860298113,276.861996670539,351.044733654235,455.092855570068,2666.39454307787,941.037046417843
1,122,384944.118995199,418488.794815962,446624.71414929,506173.078292772,496569.609573511,556957.326582327,585701.790794359,505597.730228863,461809.0497297,426393.695459972,422505.904763656,373889.335674599,284733.231358774,207024.236760235,149441.927580619,168813.946120256,300696.255244123,310386.645663163,325965.154210996,331275.213966102,327512.134867132,368667.243988972,393609.809578376,354738.415430355,327134.048835262,314754.776514346,321679.020945761,300726.222874986,248046.590812962,188933.008393045,140216.596900303,162656.736118197,3430.19895729489,549.717194559845,454.74863569792,731.107774639756,980.243789216706,1141.33749975568,1271.66954333487,1228.16376266707,1198.68468689886,1372.8679845703,1646.46398058296,2058.16100376165,2426.32295307401,2887.20173117254,3469.96941972894,13956.596321971,0.623363491622785,0.620936769697537,0.493962411097501,0.726052007335934,1.3259478395875,2.97158256434511,6.36103617085875,10.7810713387381,18.9513132117953,34.3178418176392,64.7864517691166,113.069514113374,175.941388034023,228.8290435494,301.20977530752,1801.56273507504,1307.56581897581
1,123,359465.439251104,394214.384939936,423943.596751915,486982.759325562,474614.103393823,531936.660130362,558876.542516619,481258.411109432,440023.40775504,405434.488447752,401940.264798622,354422.947968199,267074.42487533,192171.824450102,137571.283520911,154141.651582439,288652.827334579,302289.542719026,320318.189956004,330710.3703441,325588.758184392,366640.601145646,391240.300028519,351873.328655625,324541.273190654,310786.608401622,316984.740382289,293710.877700501,237390.725708575,177792.64681282,130320.971565639,149340.073628768,2599.52162171039,415.154433297312,347.813573432654,575.363299917501,762.374655336181,887.217023348385,987.863353736324,954.786455936649,933.41427024533,1065.95810238834,1278.31073283036,1590.52141558951,1848.22277656876,2171.22448752503,2583.79022728281,10276.4443551371,1.04050745432746,1.03271147506553,0.832060775182245,1.25837691041471,2.27077586408354,5.08633631677904,10.8797336831694,18.4478780954468,32.4680143996522,58.584736950227,110.338181887859,191.42902962858,292.961851590604,369.226308002277,479.097733172008,2826.15247519623,778.755664830201
1,124,356446.134086055,398564.250144297,436512.352977398,515374.971425386,496882.439006258,549808.668311714,573870.452026777,460104.549326512,422737.979900234,387062.137397956,382239.943462448,332205.410156561,246198.940977468,171067.989879627,119634.094308958,135003.445006984,284002.439860602,300878.037142258,321931.465650884,332980.030633166,326294.695148725,366513.79713658,390893.882273463,341809.148830765,317609.729899545,301672.950651531,306139.50794753,278851.700919444,220194.820308987,159000.391616096,113695.920987456,130886.744166051,3095.02230589823,499.630377346172,432.5355850962,751.721024739734,990.896353314269,1143.06342690551,1266.87401762447,1167.19451013093,1152.30980336887,1307.65579721486,1561.99320835975,1904.28519005883,2148.86703277619,2423.96359133259,2815.59661761324,11242.6444489857,0.529743419114902,0.53145531126978,0.442453825495718,0.703076444953541,1.2616866222533,2.80067904040847,5.96187887080678,9.62710081303252,17.0959689764157,30.6232747358181,57.2081368113444,97.1110504502717,144.067090804401,170.383374667103,215.080527774011,1270.60571774924,948.960540376507
1,125,354344.490084584,384450.216932505,408785.0311078,460619.342019115,449462.359656869,504472.99902398,531098.459119188,459946.816945528,420618.997829886,388759.061532291,386574.041108866,342921.979604025,261188.351060618,189666.576396929,136375.926168307,152724.91263709,290991.161505728,303670.276513485,319873.917153688,329721.888705063,325159.783673637,366305.073681402,390848.910826007,351141.576749965,323856.965292162,309952.49533512,316171.849480721,292739.771771029,236639.436947071,177682.798824026,130335.326278704,148764.359076694,2757.76834911995,439.83911416654,359.575117305279,568.953744236521,753.833754299357,880.757058455543,983.73707085379,956.663136615759,933.678407392751,1066.55911119642,1282.42626279139,1605.30563062753,1888.21702990801,2243.61392272469,2679.93053881904,10660.8173622529,0.650651239998885,0.645038390479309,0.507125800852477,0.733520617064586,1.32400557055076,2.97823013282497,6.39211474649641,10.9117062708964,19.1858407672417,34.6654095553047,65.7111815137407,114.914451604871,178.706713553168,235.25015290301,309.402317247975,1853.91837954994,865.40506812055
